dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,logreg,2,0,2,306
Half-Flipped,logreg,4,0,4,306
Half-Flipped,logreg,55,0,55,306
Half-Flipped,logreg,58,0,58,306
Half-Flipped,logreg,63,0,63,306
Half-Flipped,logreg,118,1,54,306
Half-Flipped,logreg,121,1,57,306
Half-Flipped,logreg,130,2,2,306
Half-Flipped,logreg,184,2,56,306
Half-Flipped,logreg,192,3,0,306
Half-Flipped,logreg,246,3,54,306
Half-Flipped,logreg,248,3,56,306
Half-Flipped,logreg,253,3,61,306
Half-Flipped,logreg,259,4,3,306
Half-Flipped,logreg,321,5,1,306
Half-Flipped,logreg,379,5,59,306
Half-Flipped,logreg,380,5,60,306
Half-Flipped,logreg,439,6,55,306
Half-Flipped,logreg,440,6,56,306
Half-Flipped,logreg,444,6,60,306
Half-Flipped,logreg,526,8,14,306
Half-Flipped,logreg,527,8,15,306
Half-Flipped,logreg,530,8,18,306
Half-Flipped,logreg,569,8,57,306
Half-Flipped,logreg,620,9,44,306
Half-Flipped,logreg,634,9,58,306
Half-Flipped,logreg,636,9,60,306
Half-Flipped,logreg,640,10,0,306
Half-Flipped,logreg,653,10,13,306
Half-Flipped,logreg,658,10,18,306
Half-Flipped,logreg,659,10,19,306
Half-Flipped,logreg,686,10,46,306
Half-Flipped,logreg,701,10,61,306
Half-Flipped,logreg,702,10,62,306
Half-Flipped,logreg,704,11,0,306
Half-Flipped,logreg,716,11,12,306
Half-Flipped,logreg,720,11,16,306
Half-Flipped,logreg,768,12,0,306
Half-Flipped,logreg,781,12,13,306
Half-Flipped,logreg,784,12,16,306
Half-Flipped,logreg,814,12,46,306
Half-Flipped,logreg,826,12,58,306
Half-Flipped,logreg,843,13,11,306
Half-Flipped,logreg,877,13,45,306
Half-Flipped,logreg,881,13,49,306
Half-Flipped,logreg,892,13,60,306
Half-Flipped,logreg,893,13,61,306
Half-Flipped,logreg,907,14,11,306
Half-Flipped,logreg,911,14,15,306
Half-Flipped,logreg,912,14,16,306
Half-Flipped,logreg,944,14,48,306
Half-Flipped,logreg,973,15,13,306
Half-Flipped,logreg,1008,15,48,306
Half-Flipped,logreg,1033,16,9,306
Half-Flipped,logreg,1036,16,12,306
Half-Flipped,logreg,1037,16,13,306
Half-Flipped,logreg,1040,16,16,306
Half-Flipped,logreg,1056,16,32,306
Half-Flipped,logreg,1069,16,45,306
Half-Flipped,logreg,1070,16,46,306
Half-Flipped,logreg,1075,16,51,306
Half-Flipped,logreg,1102,17,14,306
Half-Flipped,logreg,1114,17,26,306
Half-Flipped,logreg,1118,17,30,306
Half-Flipped,logreg,1119,17,31,306
Half-Flipped,logreg,1127,17,39,306
Half-Flipped,logreg,1133,17,45,306
Half-Flipped,logreg,1135,17,47,306
Half-Flipped,logreg,1136,17,48,306
Half-Flipped,logreg,1150,17,62,306
Half-Flipped,logreg,1162,18,10,306
Half-Flipped,logreg,1163,18,11,306
Half-Flipped,logreg,1165,18,13,306
Half-Flipped,logreg,1167,18,15,306
Half-Flipped,logreg,1176,18,24,306
Half-Flipped,logreg,1178,18,26,306
Half-Flipped,logreg,1179,18,27,306
Half-Flipped,logreg,1180,18,28,306
Half-Flipped,logreg,1184,18,32,306
Half-Flipped,logreg,1191,18,39,306
Half-Flipped,logreg,1199,18,47,306
Half-Flipped,logreg,1201,18,49,306
Half-Flipped,logreg,1244,19,28,306
Half-Flipped,logreg,1256,19,40,306
Half-Flipped,logreg,1278,19,62,306
Half-Flipped,logreg,1279,19,63,306
Half-Flipped,logreg,1288,20,8,306
Half-Flipped,logreg,1302,20,22,306
Half-Flipped,logreg,1309,20,29,306
Half-Flipped,logreg,1311,20,31,306
Half-Flipped,logreg,1317,20,37,306
Half-Flipped,logreg,1318,20,38,306
Half-Flipped,logreg,1320,20,40,306
Half-Flipped,logreg,1352,21,8,306
Half-Flipped,logreg,1366,21,22,306
Half-Flipped,logreg,1369,21,25,306
Half-Flipped,logreg,1375,21,31,306
Half-Flipped,logreg,1382,21,38,306
Half-Flipped,logreg,1383,21,39,306
Half-Flipped,logreg,1384,21,40,306
Half-Flipped,logreg,1434,22,26,306
Half-Flipped,logreg,1436,22,28,306
Half-Flipped,logreg,1442,22,34,306
Half-Flipped,logreg,1443,22,35,306
Half-Flipped,logreg,1450,22,42,306
Half-Flipped,logreg,1471,22,63,306
Half-Flipped,logreg,1494,23,22,306
Half-Flipped,logreg,1495,23,23,306
Half-Flipped,logreg,1499,23,27,306
Half-Flipped,logreg,1500,23,28,306
Half-Flipped,logreg,1501,23,29,306
Half-Flipped,logreg,1507,23,35,306
Half-Flipped,logreg,1508,23,36,306
Half-Flipped,logreg,1511,23,39,306
Half-Flipped,logreg,1561,24,25,306
Half-Flipped,logreg,1563,24,27,306
Half-Flipped,logreg,1564,24,28,306
Half-Flipped,logreg,1570,24,34,306
Half-Flipped,logreg,1572,24,36,306
Half-Flipped,logreg,1573,24,37,306
Half-Flipped,logreg,1574,24,38,306
Half-Flipped,logreg,1624,25,24,306
Half-Flipped,logreg,1627,25,27,306
Half-Flipped,logreg,1628,25,28,306
Half-Flipped,logreg,1633,25,33,306
Half-Flipped,logreg,1637,25,37,306
Half-Flipped,logreg,1662,25,62,306
Half-Flipped,logreg,1663,25,63,306
Half-Flipped,logreg,1690,26,26,306
Half-Flipped,logreg,1699,26,35,306
Half-Flipped,logreg,1700,26,36,306
Half-Flipped,logreg,1701,26,37,306
Half-Flipped,logreg,1754,27,26,306
Half-Flipped,logreg,1756,27,28,306
Half-Flipped,logreg,1758,27,30,306
Half-Flipped,logreg,1759,27,31,306
Half-Flipped,logreg,1818,28,26,306
Half-Flipped,logreg,1819,28,27,306
Half-Flipped,logreg,1821,28,29,306
Half-Flipped,logreg,1822,28,30,306
Half-Flipped,logreg,1824,28,32,306
Half-Flipped,logreg,1829,28,37,306
Half-Flipped,logreg,1855,28,63,306
