dataset,classifier,pixel_index,row,col,n_selected_by_model
Original,svm_wrapper,1130,17,42,150
Original,svm_wrapper,1173,18,21,150
Original,svm_wrapper,1175,18,23,150
Original,svm_wrapper,1178,18,26,150
Original,svm_wrapper,1179,18,27,150
Original,svm_wrapper,1180,18,28,150
Original,svm_wrapper,1184,18,32,150
Original,svm_wrapper,1188,18,36,150
Original,svm_wrapper,1193,18,41,150
Original,svm_wrapper,1237,19,21,150
Original,svm_wrapper,1238,19,22,150
Original,svm_wrapper,1239,19,23,150
Original,svm_wrapper,1240,19,24,150
Original,svm_wrapper,1243,19,27,150
Original,svm_wrapper,1244,19,28,150
Original,svm_wrapper,1245,19,29,150
Original,svm_wrapper,1248,19,32,150
Original,svm_wrapper,1249,19,33,150
Original,svm_wrapper,1250,19,34,150
Original,svm_wrapper,1253,19,37,150
Original,svm_wrapper,1255,19,39,150
Original,svm_wrapper,1301,20,21,150
Original,svm_wrapper,1302,20,22,150
Original,svm_wrapper,1308,20,28,150
Original,svm_wrapper,1309,20,29,150
Original,svm_wrapper,1310,20,30,150
Original,svm_wrapper,1311,20,31,150
Original,svm_wrapper,1313,20,33,150
Original,svm_wrapper,1314,20,34,150
Original,svm_wrapper,1317,20,37,150
Original,svm_wrapper,1322,20,42,150
Original,svm_wrapper,1366,21,22,150
Original,svm_wrapper,1368,21,24,150
Original,svm_wrapper,1369,21,25,150
Original,svm_wrapper,1372,21,28,150
Original,svm_wrapper,1373,21,29,150
Original,svm_wrapper,1374,21,30,150
Original,svm_wrapper,1378,21,34,150
Original,svm_wrapper,1380,21,36,150
Original,svm_wrapper,1384,21,40,150
Original,svm_wrapper,1432,22,24,150
Original,svm_wrapper,1433,22,25,150
Original,svm_wrapper,1435,22,27,150
Original,svm_wrapper,1437,22,29,150
Original,svm_wrapper,1439,22,31,150
Original,svm_wrapper,1441,22,33,150
Original,svm_wrapper,1442,22,34,150
Original,svm_wrapper,1444,22,36,150
Original,svm_wrapper,1501,23,29,150
Original,svm_wrapper,1503,23,31,150
Original,svm_wrapper,1504,23,32,150
Original,svm_wrapper,1505,23,33,150
Original,svm_wrapper,1508,23,36,150
Original,svm_wrapper,2277,35,37,150
Original,svm_wrapper,2330,36,26,150
Original,svm_wrapper,2851,44,35,150
Original,svm_wrapper,2852,44,36,150
Original,svm_wrapper,2853,44,37,150
Original,svm_wrapper,2915,45,35,150
Original,svm_wrapper,2970,46,26,150
Original,svm_wrapper,2979,46,35,150
