dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,svm,1817,28,25,299
Half-Flipped,svm,1818,28,26,299
Half-Flipped,svm,1819,28,27,299
Half-Flipped,svm,1825,28,33,299
Half-Flipped,svm,1828,28,36,299
Half-Flipped,svm,1829,28,37,299
Half-Flipped,svm,1854,28,62,299
Half-Flipped,svm,1881,29,25,299
Half-Flipped,svm,1882,29,26,299
Half-Flipped,svm,1887,29,31,299
Half-Flipped,svm,1893,29,37,299
Half-Flipped,svm,1917,29,61,299
Half-Flipped,svm,1945,30,25,299
Half-Flipped,svm,1953,30,33,299
Half-Flipped,svm,1983,30,63,299
Half-Flipped,svm,2004,31,20,299
Half-Flipped,svm,2017,31,33,299
Half-Flipped,svm,2046,31,62,299
Half-Flipped,svm,2068,32,20,299
Half-Flipped,svm,2080,32,32,299
Half-Flipped,svm,2109,32,61,299
Half-Flipped,svm,2132,33,20,299
Half-Flipped,svm,2142,33,30,299
Half-Flipped,svm,2143,33,31,299
Half-Flipped,svm,2153,33,41,299
Half-Flipped,svm,2155,33,43,299
Half-Flipped,svm,2157,33,45,299
Half-Flipped,svm,2175,33,63,299
Half-Flipped,svm,2195,34,19,299
Half-Flipped,svm,2196,34,20,299
Half-Flipped,svm,2201,34,25,299
Half-Flipped,svm,2213,34,37,299
Half-Flipped,svm,2218,34,42,299
Half-Flipped,svm,2220,34,44,299
Half-Flipped,svm,2265,35,25,299
Half-Flipped,svm,2266,35,26,299
Half-Flipped,svm,2267,35,27,299
Half-Flipped,svm,2277,35,37,299
Half-Flipped,svm,2278,35,38,299
Half-Flipped,svm,2330,36,26,299
Half-Flipped,svm,2340,36,36,299
Half-Flipped,svm,2366,36,62,299
Half-Flipped,svm,2394,37,26,299
Half-Flipped,svm,2403,37,35,299
Half-Flipped,svm,2405,37,37,299
Half-Flipped,svm,2461,38,29,299
Half-Flipped,svm,2469,38,37,299
Half-Flipped,svm,2523,39,27,299
Half-Flipped,svm,2530,39,34,299
Half-Flipped,svm,2533,39,37,299
Half-Flipped,svm,2558,39,62,299
Half-Flipped,svm,2584,40,24,299
Half-Flipped,svm,2585,40,25,299
Half-Flipped,svm,2589,40,29,299
Half-Flipped,svm,2595,40,35,299
Half-Flipped,svm,2596,40,36,299
Half-Flipped,svm,2597,40,37,299
Half-Flipped,svm,2650,41,26,299
Half-Flipped,svm,2651,41,27,299
Half-Flipped,svm,2653,41,29,299
Half-Flipped,svm,2660,41,36,299
Half-Flipped,svm,2663,41,39,299
Half-Flipped,svm,2685,41,61,299
Half-Flipped,svm,2687,41,63,299
Half-Flipped,svm,2715,42,27,299
Half-Flipped,svm,2716,42,28,299
Half-Flipped,svm,2722,42,34,299
Half-Flipped,svm,2723,42,35,299
Half-Flipped,svm,2752,43,0,299
Half-Flipped,svm,2761,43,9,299
Half-Flipped,svm,2774,43,22,299
Half-Flipped,svm,2776,43,24,299
Half-Flipped,svm,2778,43,26,299
Half-Flipped,svm,2780,43,28,299
Half-Flipped,svm,2783,43,31,299
Half-Flipped,svm,2789,43,37,299
Half-Flipped,svm,2800,43,48,299
Half-Flipped,svm,2802,43,50,299
Half-Flipped,svm,2803,43,51,299
Half-Flipped,svm,2825,44,9,299
Half-Flipped,svm,2826,44,10,299
Half-Flipped,svm,2828,44,12,299
Half-Flipped,svm,2829,44,13,299
Half-Flipped,svm,2831,44,15,299
Half-Flipped,svm,2844,44,28,299
Half-Flipped,svm,2847,44,31,299
Half-Flipped,svm,2851,44,35,299
Half-Flipped,svm,2855,44,39,299
Half-Flipped,svm,2863,44,47,299
Half-Flipped,svm,2866,44,50,299
Half-Flipped,svm,2878,44,62,299
Half-Flipped,svm,2890,45,10,299
Half-Flipped,svm,2893,45,13,299
Half-Flipped,svm,2904,45,24,299
Half-Flipped,svm,2912,45,32,299
Half-Flipped,svm,2925,45,45,299
Half-Flipped,svm,2932,45,52,299
Half-Flipped,svm,2933,45,53,299
Half-Flipped,svm,2953,46,9,299
Half-Flipped,svm,2959,46,15,299
Half-Flipped,svm,2990,46,46,299
Half-Flipped,svm,3017,47,9,299
Half-Flipped,svm,3021,47,13,299
Half-Flipped,svm,3022,47,14,299
Half-Flipped,svm,3038,47,30,299
Half-Flipped,svm,3056,47,48,299
Half-Flipped,svm,3057,47,49,299
Half-Flipped,svm,3071,47,63,299
Half-Flipped,svm,3082,48,10,299
Half-Flipped,svm,3083,48,11,299
Half-Flipped,svm,3085,48,13,299
Half-Flipped,svm,3087,48,15,299
Half-Flipped,svm,3089,48,17,299
Half-Flipped,svm,3116,48,44,299
Half-Flipped,svm,3118,48,46,299
Half-Flipped,svm,3120,48,48,299
Half-Flipped,svm,3121,48,49,299
Half-Flipped,svm,3124,48,52,299
Half-Flipped,svm,3125,48,53,299
Half-Flipped,svm,3148,49,12,299
Half-Flipped,svm,3154,49,18,299
Half-Flipped,svm,3180,49,44,299
Half-Flipped,svm,3187,49,51,299
Half-Flipped,svm,3197,49,61,299
Half-Flipped,svm,3243,50,43,299
Half-Flipped,svm,3247,50,47,299
Half-Flipped,svm,3250,50,50,299
Half-Flipped,svm,3263,50,63,299
Half-Flipped,svm,3308,51,44,299
Half-Flipped,svm,3310,51,46,299
Half-Flipped,svm,3314,51,50,299
Half-Flipped,svm,3328,52,0,299
Half-Flipped,svm,3341,52,13,299
Half-Flipped,svm,3344,52,16,299
Half-Flipped,svm,3346,52,18,299
Half-Flipped,svm,3371,52,43,299
Half-Flipped,svm,3375,52,47,299
Half-Flipped,svm,3376,52,48,299
Half-Flipped,svm,3378,52,50,299
Half-Flipped,svm,3389,52,61,299
Half-Flipped,svm,3392,53,0,299
Half-Flipped,svm,3406,53,14,299
Half-Flipped,svm,3410,53,18,299
Half-Flipped,svm,3411,53,19,299
Half-Flipped,svm,3434,53,42,299
Half-Flipped,svm,3438,53,46,299
Half-Flipped,svm,3441,53,49,299
Half-Flipped,svm,3451,53,59,299
Half-Flipped,svm,3453,53,61,299
Half-Flipped,svm,3472,54,16,299
Half-Flipped,svm,3475,54,19,299
Half-Flipped,svm,3496,54,40,299
Half-Flipped,svm,3503,54,47,299
Half-Flipped,svm,3519,54,63,299
Half-Flipped,svm,3521,55,1,299
Half-Flipped,svm,3522,55,2,299
Half-Flipped,svm,3538,55,18,299
Half-Flipped,svm,3541,55,21,299
